clarity_id,metric,metric_year,provider_code,clarity_industry_code,clarity_industry_name,country_code,co2directscope1_raw,revenue,co2directscope1_intensity,verification_co2directscope1,targets_emissions,policy_emissions,sbti_alignment,nz_statement
01FF543V72RNYF1ZS5G3X3V1NG,CO2DIRECTSCOPE1,2016,TRC8,20102010/0,Building Products,CH,17183480.956636846,356545.24777021393,48.194390653360344,,100,100,,1
01FF543T1Z2YHB1A5WP0QD37Z5,CO2DIRECTSCOPE1,2011,TRC8,25301020/0,"Hotels, Resorts & Cruise Lines",PA,1368730514.8000002,1974140.0,693.3300144873211,,100,100,,
01FF543VBSW9KC3FZJZYTX1PKX,CO2DIRECTSCOPE1,2008,TRC1,60106010/0,Multi-Family Residential REITs,GB,446027.343,21156.862528667734,21.081922822707245,,100,100,100,100
01FF543WHFJEG3GD9XAA64CKAY,CO2DIRECTSCOPE1,2010,TRC1,40101010/0,Diversified Banks,BM,55640.3125,340698.87500047626,0.16331228713309434,,100,100,,1
01FF543SCY8V84ZMG81WP6DG8P,CO2DIRECTSCOPE1,2022,TRC8,35202010/0,Pharmaceuticals,JP,6094675.0,842025.9528050764,7.238108255091846,100,100,100,100,1
01FF543SN9FNKPPMH2681Z579Q,CO2DIRECTSCOPE1,2018,TRC8,20106010/0,Construction Machinery & Heavy Transportation Equipment,US,5435248.375,640640.0,8.484091494443057,1,100,100,,1
01FF543RY1T7EDT8Q4ASPGQ6TG,CO2DIRECTSCOPE1,2022,TRC8,60201040/0,Real Estate Services,GB,154515.0,21710.11555184175,7.117189202933188,,100,100,,
01FF543WEN0VSW1T6CJ8CKPM7V,CO2DIRECTSCOPE1,2018,TRC1,55100000/1,Electricity generation utilities,CA,2632996993.4369125,610270.4145992482,4314.475895355253,1,100,100,,100
01FF543VXE4SKXHAKCWRXFWP9E,CO2DIRECTSCOPE1,2012,TRC1,25504010/0,Apparel Retail,ZA,451010.57499999995,75744.61785289117,5.954358049253593,,1,100,,1
01FF543VEJWX3N7HBJK6DAKWAX,CO2DIRECTSCOPE1,2014,TRC1,20104010/0,Electrical Components & Equipment,JP,31710441.662499998,776483.6372939209,40.83851885535188,,100,100,100,100
01FF543T4Z97XZ29059NN4CBZR,CO2DIRECTSCOPE1,2011,TRC1,60201020/0,Real Estate Operating Companies,JP,1831029.70125,121423.40516523004,15.079709704717793,,1,1,100,
01FF543TYX74JJQCKA3NGM52NV,CO2DIRECTSCOPE1,2010,TRC8,20302010/0,Passenger Airlines,NZ,369904242.475,307763.7577477233,1201.9096893735416,,100,100,100,
01FF543VC8Z867K57GT9JGDT0E,CO2DIRECTSCOPE1,2008,TRC1,10101020/0,Oil & Gas Equipment & Services,US,25615692.85,1483015.0,17.27271325644043,,100,100,,
01FF543WJBZVCSMMJKZS66ZRHW,CO2DIRECTSCOPE1,2021,TRC8,40301030/0,Multi-line Insurance,CH,1184887.5,1683342.9069557223,0.7038895611250326,100,100,100,,100
01FF543TR1XAV3TE36S4SRRSKM,CO2DIRECTSCOPE1,2011,TRC1,40202010/0,Consumer Finance,US,4483956.899999999,4034015.0,1.1115369923017142,,100,1,1,100
01FF543VR9JTMRNAR7GHDJAMMW,CO2DIRECTSCOPE1,2011,TRC8,60201020/0,Real Estate Operating Companies,SE,374092.60250992124,35181.30203263395,10.633279068606255,,100,100,100,1
01FF543RDSJ38V7QW07J4M7ZAG,CO2DIRECTSCOPE1,2004,TRC8,20102010/0,Building Products,FR,1446566588.173677,4344431.10464193,332.9703137950679,,100,100,100,100
01FF543TMSGA85M7M6SDMEQGPZ,CO2DIRECTSCOPE1,2013,TRC1,20202020/0,Research & Consulting Services,JE,880977.333,591264.6662463256,1.4899881276399116,,100,100,100,1
01FF543SB663NMEYBBBG6SQ38J,CO2DIRECTSCOPE1,2010,TRC1,40101015/0,Regional Banks,IT,451822.136125,41741.4881367138,10.824293917005777,,1,1,,
01FF543TADT3BZBC0FS67EXRP3,CO2DIRECTSCOPE1,2013,TRC1,10102030/0,Oil & Gas Refining & Marketing,FI,448631125.375,2358034.2098488556,190.2564108277955,,100,100,,100
01FF543VTMB0FHA90VM5SHG3MT,CO2DIRECTSCOPE1,2008,TRC1,15101050/0,Specialty Chemicals,JP,52559372.05,621051.7459317481,84.62961805404237,,100,100,,100
01FF543S1CE76CSC4YXAFF0R0K,CO2DIRECTSCOPE1,2012,TRC1,10101020/0,Oil & Gas Equipment & Services,NO,5179216.350000001,490043.06079210533,10.568900499536342,,100,100,,100
01FF543VPQE32PVV346454XBYR,CO2DIRECTSCOPE1,2013,TRC1,20103010/0,Construction & Engineering,KR,31417706.1125,917618.9218181546,34.238293659256165,,100,100,,1
01FF543TK0N83KT68VEZAR326J,CO2DIRECTSCOPE1,2014,TRC8,45202030/0,"Technology Hardware, Storage & Peripherals",US,13795649.55,2442515.0,5.648132989971403,,100,100,100,100
01FF543S1CE76CSC4YXAFF0R0K,CO2DIRECTSCOPE1,2018,TRC1,10101020/0,Oil & Gas Equipment & Services,NO,275421.8709228138,53249.82994601403,5.172258225088101,,100,100,,100
01FF543WEZFCAF8V8AVYVEXD20,CO2DIRECTSCOPE1,2007,TRC1,10102020/0,Oil & Gas Exploration & Production,GB,30394878.125,100833.28474491552,301.4369531042442,,100,100,,100
01FF543RGBJ1M5MC1HZ62KBC5M,CO2DIRECTSCOPE1,2013,TRC8,35202010/0,Pharmaceuticals,DE,491482002.4183243,5422702.974453126,90.63413665357353,,100,100,100,100
01FF543TGM96AHZTTDM85RHMP9,CO2DIRECTSCOPE1,2015,TRC8,35202010/0,Pharmaceuticals,FI,16545.180037229755,137212.77329094245,0.12058046521767896,,100,100,1,1
01FF543SGA1JDFDTQWG5F6SFTB,CO2DIRECTSCOPE1,2009,TRC1,15105010/0,Forest Products,SE,325796299.5,1335551.397544262,243.94141633115447,,1,100,,100
01FF543VTF6HAZDJGB56BAHC3G,CO2DIRECTSCOPE1,2017,TRC1,25101020/0,Tires & Rubber,JP,245028989.13429624,4062024.6595109226,60.32188617087281,,100,100,100,100
01FF543VYJF1NCJV4S58S8V97D,CO2DIRECTSCOPE1,2007,TRC1,25101010/0,Automotive Parts & Equipment,JP,13281670.6,854412.0787250922,15.544806693063368,,100,100,1,100
01FF543T5FJKMYKRWV4MNDPV4W,CO2DIRECTSCOPE1,2018,TRC1,55103010/0,Multi-Utilities,US,1709812792.7269876,1235015.0,1384.446984633375,1,100,100,1,100
01FF543WKPVHZ9NCJAF42NZVY5,CO2DIRECTSCOPE1,2019,TRC8,15104050/0,Steel,JP,11878269931.375,6965757.844221311,1705.237275974076,,100,100,,
01FF543V4297RQ5P7526TPN4Q7,CO2DIRECTSCOPE1,2014,TRC1,45301020/0,Semiconductors,US,15239475.1,241417.125,63.125079051455025,,100,100,,100
01FF543WPJBEQPW0Y5F8PD9KMD,CO2DIRECTSCOPE1,2016,TRC1,20305010/0,Airport Services,DE,5307976.9475,357846.4594794972,14.833112936818424,,100,100,,
01FF543WHK6G73QJ00Y8XX4VFG,CO2DIRECTSCOPE1,2014,TRC1,50101010/0,Alternative Carriers,GB,10187523.4,2281052.5,4.4661503406870295,,1,100,100,100
01FF543TTRMK7MNGC81ZG51MBR,CO2DIRECTSCOPE1,2017,TRC1,15104050/0,Steel,ES,29929291.865369,653732.9446664941,45.78213796558411,,100,100,1,100
